rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
40731	active-sort	0	3	111227	p109296	active	pbp11b	10	lib/images/pbp11b/problem/pbp11b_2-2.jpg	left	pbp11b_2-2.jpg	425.0000305	344.5714417	235.6517944	346.2053833	22301	1	left	235.6517944	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	11	lib/images/pbp11b/problem/pbp11b_3-3.jpg	right	pbp11b_3-3.jpg	535	344.5714417	1052.642944	346.2053833	23744	1	right	1052.642944	346.2053833	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	12	lib/images/pbp11b/problem/pbp11b_3-2.jpg	left	pbp11b_3-2.jpg	755.000061	454.5714417	914.000061	458.5714417	26813	0	right	124.5000076	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	13	lib/images/pbp11b/problem/pbp11b_3-2.jpg	left	pbp11b_3-2.jpg	755.000061	454.5714417	124.5000076	452.3660889	27962	1	left	124.5000076	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	14	lib/images/pbp11b/problem/pbp11b_2-3.jpg	right	pbp11b_2-3.jpg	645	454.5714417	250.0000153	449.5714417	28808	0	left	941.500061	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	15	lib/images/pbp11b/problem/pbp11b_2-3.jpg	right	pbp11b_2-3.jpg	645	454.5714417	941.500061	452.3660889	31336	1	right	941.500061	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	16	lib/images/pbp11b/problem/pbp11b_1-4.jpg	right	pbp11b_1-4.jpg	535	454.5714417	241.0000153	440.5714417	33112	0	left	1052.642944	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	17	lib/images/pbp11b/problem/pbp11b_1-4.jpg	right	pbp11b_1-4.jpg	535	454.5714417	1052.642944	452.3660889	35624	1	right	1052.642944	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
40731	active-sort	0	3	111227	p109296	active	pbp11b	18	lib/images/pbp11b/problem/pbp11b_3-1.jpg	left	pbp11b_3-1.jpg	425.0000305	454.5714417	235.6517944	452.3660889	37720	1	left	235.6517944	452.3660889	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	1	lib/images/pbp11b/test/pbp11b_5-2.jpg	left	pbp11b_5-2.jpg	590	306.7142944	191.4285736	556.2142944	4799	1	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
